# PIC Simulation Summary (sweep over box_length)
# Values swept: [1, 2, 4, 6, 8, 10]
# Runs per configuration: 10

# config: box_length=1
# Ncells=20   Nparticles=1
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      10.27      0.046952 7.6969  0          0.20673    1.5701e-16
2      9.9527     0.051603 5.1313  1.7104     0.27873    0.052321  
3      9.4862     0.046559 nan     nan        nan        nan       
4      11.157     0.052526 3.8485  0          0.27994    4.7103e-16
5      10.628     0.052379 4.3982  0.62832    0.4083     0.092593  
6      10.788     0.049923 nan     nan        nan        nan       
7      11.236     0.06515 3.8485  0          0.17182    0.018487  
8      11.325     0.049659 3.0788  5.4701e-16 0.28406    0.11833   
9      13.127     0.046987 3.8485  1.3606     0.28507    0.055888  
10     12.725     0.049943 5.1313  0          0.3575     1.5701e-16

# mean values:
# runtime_mean=11.0695, runtime_std=1.14219
# noise_mean=0.0511681, noise_std=0.00538333
# freq_mean=4.62272, freq_std=1.42431
# damping_mean=0.284021, damping_std=0.0750759

----------------------------------------------------------------------

# config: box_length=2
# Ncells=20   Nparticles=2
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      6.1        0.037711 1.9242  0          0.20044    1.5701e-16
2      6.6183     0.048895 2.3683  0.18218    0.1598     0.037461  
3      6.865      0.046401 3.8485  0          0.7731     1.5701e-16
4      5.8837     0.041053 2.5656  0          0.55351    1.5701e-16
5      5.939      0.036266 3.0788  0          0.3786     1.5701e-16
6      6.517      0.035468 3.2987  1.7632     0.18564    0.048693  
7      5.4884     0.037918 2.3091  0.16328    0.047844   0.019764  
8      5.788      0.037973 nan     nan        nan        nan       
9      6.0591     0.041471 3.0788  0.50276    0.1636     0.045953  
10     6.0033     0.044943 nan     nan        nan        nan       

# mean values:
# runtime_mean=6.12618, runtime_std=0.418469
# noise_mean=0.0408099, noise_std=0.00458754
# freq_mean=2.80898, freq_std=0.627011
# damping_mean=0.307818, damping_std=0.244542

----------------------------------------------------------------------

# config: box_length=4
# Ncells=20   Nparticles=4
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      3.1336     0.03511 2.463   0.64604    0.10235    0.0365    
2      3.2444     0.030755 2.2806  0.4997     0.1735     0.061828  
3      3.275      0.034846 2.5656  0          0.19965    0.070271  
4      3.2979     0.022228 2.7989  0.25444    0.16545    0.019811  
5      3.3295     0.023443 3.0788  0.50276    0.30604    0.065675  
6      3.3269     0.031744 2.0525  0.62705    0.093499   0.095024  
7      3.5898     0.027712 3.0788  0          0.43812    1.5701e-16
8      3.2327     0.029496 2.6772  0.20161    0.14468    0.078582  
9      3.2506     0.025559 2.7989  0.25444    0.090526   0.042971  
10     3.4496     0.057135 2.6541  0.18304    0.10317    0.011977  

# mean values:
# runtime_mean=3.31301, runtime_std=0.126761
# noise_mean=0.0318029, noise_std=0.00991992
# freq_mean=2.64483, freq_std=0.32456
# damping_mean=0.1817, damping_std=0.11145

----------------------------------------------------------------------

# config: box_length=6
# Ncells=20   Nparticles=6
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      2.7396     0.054106 2.4053  0.18412    0.074315   0.029663  
2      2.6867     0.097034 nan     nan        nan        nan       
3      2.7883     0.059656 2.463   0.17064    0.079457   0.021361  
4      2.6929     0.068962 2.2638  0.24913    0.083834   0.049755  
5      2.6119     nan     2.3683  0.18218    0.045092   0.016554  
6      2.691      0.066166 2.463   0.17064    0.05908    0.022439  
7      2.8329     0.078129 2.4053  0.18412    0.037658   0.011713  
8      2.8603     0.095964 2.3683  0.18218    0.057986   0.019853  
9      2.8751     nan     2.3683  0.27828    0.078745   0.021529  
10     2.7706     nan     2.3683  0.18218    0.03721    0.016473  

# mean values:
# runtime_mean=2.75493, runtime_std=0.0857966
# noise_mean=0.0742879, noise_std=0.0169199
# freq_mean=2.38594, freq_std=0.0599945
# damping_mean=0.0614865, damping_std=0.0184687

----------------------------------------------------------------------

# config: box_length=8
# Ncells=20   Nparticles=8
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      2.5415     nan     2.1991  5.5115e-16 0.018903   0.012252  
2      2.4716     0.13147 nan     nan        nan        nan       
3      2.3406     0.13918 2.1991  0          0.0013172  7.8505e-17
4      2.3361     0.12401 nan     nan        nan        nan       
5      2.6447     0.15992 2.1991  0          0.00072737 7.8505e-17
6      2.6901     nan     2.1991  5.5115e-16 0.020225   0.0098226 
7      2.3663     0.14634 2.1991  0          0.010346   7.8505e-17
8      2.6409     0.15371 2.1991  2.9602e-16 0.030188   0.01654   
9      2.4578     0.099448 nan     nan        nan        nan       
10     2.4118     0.11258 2.1991  0          0.019252   0         

# mean values:
# runtime_mean=2.49013, runtime_std=0.132567
# noise_mean=0.133333, noise_std=0.0206837
# freq_mean=2.19911, freq_std=2.56395e-16
# damping_mean=0.0144229, damping_std=0.0108132

----------------------------------------------------------------------

# config: box_length=10
# Ncells=20   Nparticles=10
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      2.6052     0.21536 2.1233  0.12681    0.016625   0.0046871 
2      2.51       0.17993 nan     nan        nan        nan       
3      2.3605     0.18682 nan     nan        nan        nan       
4      2.5227     0.17344 2.0992  0.13494    0.002871   0.0013481 
5      2.4647     0.17895 nan     nan        nan        nan       
6      2.1894     0.1621  nan     nan        nan        nan       
7      2.0026     0.14104 nan     nan        nan        nan       
8      2.4414     0.13771 nan     nan        nan        nan       
9      2.7064     0.16012 nan     nan        nan        nan       
10     2.4894     0.15955 2.1233  0.12681    0.0065221  0.0049668 

# mean values:
# runtime_mean=2.42923, runtime_std=0.203377
# noise_mean=0.169503, noise_std=0.0228012
# freq_mean=2.11524, freq_std=0.0139304
# damping_mean=0.00867271, damping_std=0.00712477

----------------------------------------------------------------------

