# PIC Simulation Summary (sweep over cells)
# Values swept: [100, 200, 300, 400, 500]
# Runs per configuration: 10

# config: cells=100
# Ncells=100  Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      3.7019     0.032228 3.4208  0.38009    0.44989    0.11428   
2      4.2593     0.034506 3.0788  0          0.30905    1.5701e-16
3      3.6568     0.045479 2.6541  0.53365    0.17029    0.038191  
4      4.1029     0.032406 2.7989  0.25444    0.28012    0.057489  
5      3.7313     0.036011 3.0788  0.50276    0.26806    0.044891  
6      3.6893     0.05907 nan     nan        nan        nan       
7      4.1418     0.036362 2.4306  0.18092    0.2449     0.079152  
8      3.8362     nan     2.8357  0.47196    0.071323   0.056791  
9      4.0243     0.047075 2.7989  0.25444    0.31001    0.16172   
10     3.5368     0.048499 nan     nan        nan        nan       

# mean values:
# runtime_mean=3.86806, runtime_std=0.245219
# noise_mean=0.0412928, noise_std=0.00920835
# freq_mean=2.88706, freq_std=0.302192
# damping_mean=0.262956, damping_std=0.110349

----------------------------------------------------------------------

# config: cells=200
# Ncells=200  Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      7.1916     nan     2.138   0.5758     0.040197   0.045912  
2      8.3735     0.031601 2.7989  0.44071    0.14091    0.022168  
3      8.0629     0.044722 3.0788  0.61575    0.28764    0.0016363 
4      7.1572     0.046088 2.463   0.42944    0.18783    0.038918  
5      7.6561     0.03348 2.3683  0.75113    0.1967     0.08999   
6      7.2103     0.043969 2.5656  0.38246    0.091065   0.036136  
7      7.9241     0.037734 3.0788  0          0.41155    1.5701e-16
8      8.4724     0.052593 2.5656  0          0.25386    1.5701e-16
9      8.4922     0.041128 2.6541  0.34244    0.16687    0.06809   
10     7.6906     0.055257 1.9863  1.0779     0.14987    0.13671   

# mean values:
# runtime_mean=7.82309, runtime_std=0.527362
# noise_mean=0.0429525, noise_std=0.00796447
# freq_mean=2.56974, freq_std=0.358487
# damping_mean=0.19265, damping_std=0.105125

----------------------------------------------------------------------

# config: cells=300
# Ncells=300  Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      12.059     0.036102 2.3683  0.75113    0.098129   0.027494  
2      12.747     0.031434 2.5656  0          0.27542    1.5701e-16
3      11.833     0.032436 2.5656  0.34914    0.21457    0.071458  
4      10.85      0.039686 2.7166  0.22599    0.14635    0.044576  
5      9.9507     0.045459 2.1991  0.31416    0.34093    0.059171  
6      11.205     0.042414 2.5656  0          0.15507    0.029969  
7      11.857     0.048053 2.463   0.42944    0.13941    0.0085598 
8      11.29      0.037521 3.0788  0.61575    0.31967    0.057482  
9      16.554     0.028855 2.7166  0.22599    0.19849    0.081155  
10     12.629     0.030301 2.2806  0.84042    0.10149    0.066247  

# mean values:
# runtime_mean=12.0973, runtime_std=1.77347
# noise_mean=0.0372261, noise_std=0.00661495
# freq_mean=2.55197, freq_std=0.252118
# damping_mean=0.198951, damping_std=0.0873848

----------------------------------------------------------------------

# config: cells=400
# Ncells=400  Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      16.191     0.040646 3.0788  0          0.65183    0         
2      17.78      0.033789 3.0788  6.6995e-16 0.26097    0.058072  
3      17.181     0.038235 2.7166  0.22599    0.21569    0.0064874 
4      16.837     0.029878 2.1991  0.62832    0.087132   0.082868  
5      3711.6     0.048783 2.1991  0.31416    0.24272    0.14135   
6      25.451     0.053772 3.0788  0          0.44398    2.3551e-16
7      32.13      0.046022 2.7989  0.25444    0.17038    0.040866  
8      32.196     0.047049 2.2806  0.1463     0.050474   0.052306  
9      31.836     0.035795 2.5656  0.30236    0.17561    0.018839  
10     30.432     0.051835 2.463   0.32676    0.13928    0.063006  

# mean values:
# runtime_mean=393.159, runtime_std=1165.99
# noise_mean=0.0425802, noise_std=0.00808628
# freq_mean=2.64591, freq_std=0.35949
# damping_mean=0.243806, damping_std=0.179671

----------------------------------------------------------------------

# config: cells=500
# Ncells=500  Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      44.213     0.03911 2.1233  0.66704    0.13678    0.030448  
2      44.191     0.054918 2.4306  0.47866    0.12307    0.027172  
3      43.781     0.037142 2.7989  0.25444    0.17773    0.044669  
4      39.034     0.078737 2.5656  0          0.15069    0.040957  
5      45.933     0.057761 2.7989  0.25444    0.14676    0.018229  
6      40.307     0.052557 2.1991  0.67866    0.11046    0.045905  
7      43.964     0.054136 2.5656  0          0.18571    0         
8      40.706     0.044568 2.4306  0.47866    0.31143    0.12157   
9      38.812     0.044309 1.9863  0.61123    0.11575    0.073941  
10     40.598     0.05118 3.0788  0          0.027895   1.5701e-16

# mean values:
# runtime_mean=42.1538, runtime_std=2.52596
# noise_mean=0.0514416, noise_std=0.0118335
# freq_mean=2.49777, freq_std=0.337993
# damping_mean=0.148628, damping_std=0.0719887

----------------------------------------------------------------------

