# PIC Simulation Summary (sweep over particles)
# Values swept: [1000, 1500, 2000, 2500, 3000]
# Runs per configuration: 10

# config: particles=1000
# Ncells=20   Nparticles=1000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      1.2173     0.050934 2.5656  0          0.14133    0         
2      1.2541     0.032385 2.8863  0.25512    0.17839    0.060726  
3      0.79859    0.051041 2.9322  0.24184    0.194      0.058362  
4      0.85663    0.070586 3.0788  0          0.1852     1.5701e-16
5      0.8517     0.067484 2.5656  0.27044    0.064125   0.025243  
6      0.79425    0.023629 2.463   0.42944    0.26716    0.089616  
7      0.8299     0.038522 2.7166  0.22599    0.17218    0.077369  
8      0.84385    0.039195 nan     nan        nan        nan       
9      0.99048    0.050238 2.8863  0.25512    0.097759   0.047982  
10     0.87864    0.060382 2.5656  0          0.17109    1.5701e-16

# mean values:
# runtime_mean=0.931545, runtime_std=0.16948
# noise_mean=0.0484396, noise_std=0.0151625
# freq_mean=2.74001, freq_std=0.213013
# damping_mean=0.16347, damping_std=0.0582981

----------------------------------------------------------------------

# config: particles=1500
# Ncells=20   Nparticles=1500
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      1.5982     0.041323 nan     nan        nan        nan       
2      2.0384     0.039158 2.8863  0.25512    0.24948    0.11631   
3      2.6802     0.038421 2.5656  0          0.27568    1.5701e-16
4      2.6867     0.02743 2.7989  0.25444    0.24129    0.065261  
5      3.1458     0.038817 2.7166  0.22599    0.30618    0.08205   
6      2.7419     0.041943 3.0788  6.6995e-16 0.1738     0.015298  
7      2.6818     0.037701 3.0788  4.7373e-16 0.28472    0.14881   
8      2.8363     0.037504 2.5656  0          0.29829    1.5701e-16
9      3.3032     0.031493 2.7166  0.45197    0.14819    0.064114  
10     2.6754     0.034555 2.2806  0.64879    0.14738    0.09149   

# mean values:
# runtime_mean=2.6388, runtime_std=0.494253
# noise_mean=0.0368344, noise_std=0.00449011
# freq_mean=2.74307, freq_std=0.256735
# damping_mean=0.236111, damping_std=0.0636347

----------------------------------------------------------------------

# config: particles=2000
# Ncells=20   Nparticles=2000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      3.6306     0.021013 3.0788  0.4354     0.2692     0.076653  
2      3.7502     0.034138 2.6772  0.20161    0.13735    0.086137  
3      4.327      0.031057 2.7989  0.44071    0.16127    0.049301  
4      3.4635     0.016686 2.1991  0.67866    0.23496    0.081692  
5      3.4989     0.038549 1.7762  0.7729     0.13694    0.049052  
6      3.7098     0.045936 2.7989  0.25444    0.18457    0.062467  
7      3.7074     0.033116 2.6772  0.38605    0.22349    0.044655  
8      3.4466     0.040154 3.0788  0.75414    0.19854    0.034993  
9      3.6269     0.031651 2.2806  0.64879    0.16767    0.045075  
10     3.5517     0.032479 2.5656  4.6524e-16 0.12998    0.046031  

# mean values:
# runtime_mean=3.67127, runtime_std=0.25391
# noise_mean=0.0324779, noise_std=0.00858672
# freq_mean=2.59312, freq_std=0.407094
# damping_mean=0.184398, damping_std=0.0468067

----------------------------------------------------------------------

# config: particles=2500
# Ncells=20   Nparticles=2500
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      5.1611     0.034004 2.463   0.42944    0.18087    0.0098632 
2      4.8127     0.026629 3.0788  0.50276    0.26192    0.048908  
3      5.2451     0.042198 2.8863  0.25512    0.16479    0.055285  
4      4.3092     0.019273 2.138   0.60566    0.11108    0.062552  
5      3.9399     0.025603 2.6772  0.20161    0.16036    0.051092  
6      4.3308     0.029116 2.9322  0.24184    0.18401    0.051434  
7      4.2982     0.036673 2.5656  0          0.17368    0.07039   
8      3.7788     0.029011 2.8863  0.25512    0.24808    0.058787  
9      4.4175     0.023217 2.7166  0.22599    0.24399    0.084189  
10     4.2362     0.024806 2.9603  0.22772    0.13323    0.042231  

# mean values:
# runtime_mean=4.45294, runtime_std=0.481204
# noise_mean=0.0290529, noise_std=0.00683872
# freq_mean=2.73043, freq_std=0.282084
# damping_mean=0.186201, damping_std=0.0501859

----------------------------------------------------------------------

# config: particles=3000
# Ncells=20   Nparticles=3000
run_id  runtime   noise   freq   freq_err   damping   damping_err
1      4.8962     0.019477 2.7989  0.25444    0.25174    0.078642  
2      3.0886     0.030786 2.5656  0.34914    0.22735    0.041921  
3      2.9951     0.03275 2.3091  0.5887     0.16073    0.027225  
4      2.9521     0.018558 2.5656  0.34914    0.14492    0.04121   
5      5.8199     0.023664 2.7989  0.25444    0.2828     0.10265   
6      4.5833     0.028762 2.5656  0.27044    0.16431    0.041665  
7      5.2979     0.039893 2.5656  0.30236    0.1435     0.045689  
8      5.351      0.030865 2.5656  0          0.22694    0.066639  
9      5.8394     0.039206 2.7989  0.25444    0.20888    0.034752  
10     5.6123     0.033465 2.9603  0.22772    0.13815    0.054348  

# mean values:
# runtime_mean=4.64356, runtime_std=1.18999
# noise_mean=0.0297425, noise_std=0.00735017
# freq_mean=2.64942, freq_std=0.186971
# damping_mean=0.194932, damping_std=0.0513108

----------------------------------------------------------------------

