# time  first_harmonic
0.00000000e+00 2.30371753e-01
4.08163265e-01 2.07421035e-01
8.16326531e-01 1.44806956e-01
1.22448980e+00 6.78916355e-02
1.63265306e+00 3.85148475e-02
2.04081633e+00 7.38817407e-02
2.44897959e+00 8.58470047e-02
2.85714286e+00 6.98465091e-02
3.26530612e+00 4.06473725e-02
3.67346939e+00 3.75097766e-02
4.08163265e+00 6.12363451e-02
4.48979592e+00 7.43296554e-02
4.89795918e+00 6.82385238e-02
5.30612245e+00 4.42266097e-02
5.71428571e+00 1.11562459e-02
6.12244898e+00 2.31420063e-02
6.53061224e+00 4.89526457e-02
6.93877551e+00 5.90293897e-02
7.34693878e+00 5.07542445e-02
7.75510204e+00 2.89094216e-02
8.16326531e+00 6.36892624e-03
8.57142857e+00 2.90191011e-02
8.97959184e+00 4.44395676e-02
9.38775510e+00 4.43291535e-02
9.79591837e+00 2.99762109e-02
1.02040816e+01 1.40917159e-02
1.06122449e+01 2.84736128e-02
1.10204082e+01 4.62440890e-02
1.14285714e+01 5.40440383e-02
1.18367347e+01 5.05880710e-02
1.22448980e+01 4.09541281e-02
1.26530612e+01 3.27800523e-02
1.30612245e+01 3.17448270e-02
1.34693878e+01 3.62181697e-02
1.38775510e+01 3.98499951e-02
1.42857143e+01 3.98936588e-02
1.46938776e+01 3.48512903e-02
1.51020408e+01 2.49598221e-02
1.55102041e+01 1.11838380e-02
1.59183673e+01 5.31703981e-03
1.63265306e+01 1.78637404e-02
1.67346939e+01 2.88285562e-02
1.71428571e+01 3.81893423e-02
1.75510204e+01 4.58379834e-02
1.79591837e+01 5.09755263e-02
1.83673469e+01 4.79512720e-02
1.87755102e+01 3.75570342e-02
1.91836735e+01 2.56076439e-02
1.95918367e+01 2.99003484e-02
2.00000000e+01 4.32069798e-02
