# vbeam  gamma_mean  gamma_std
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.736235742820676275e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.472471485641352551e+00 2.925637189675283148e-02 3.658794767907635331e-02
5.208707228462028382e+00 1.328784500894653331e-01 8.257933783138188266e-02
6.944942971282705102e+00 2.817332951160095300e-01 2.606971078623188665e-01
8.681178714103381822e+00 3.310033291281476164e-01 2.320722892456489328e-02
1.041741445692405676e+01 3.191258003794382181e-01 9.418297604037799420e-02
1.215365019974473348e+01 2.887044105772637037e-01 1.029022671440185666e-01
1.388988594256541020e+01 2.970296218093348983e-01 6.518643752921587931e-02
1.562612168538608692e+01 2.016407995963916677e-01 6.099221091629038888e-02
1.736235742820676364e+01 2.074720819673515626e-01 4.445326721175048013e-01
1.909859317102743859e+01 1.297264421475679240e-02 1.591711426481034336e-02
